P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
284612384;NIEZREALIZOWANE;8595956;BIA-PRIM-68;2026-02-20;Silniczek krokowy;8;4;6;10
284612384;NIEZREALIZOWANE;8595956;BIA-PRIM-68;2026-02-20;Silniczek krokowy;8;4;6;10
864421347;NIEZREALIZOWANE;8595956;BIA-PRIM-68;2026-02-20;Drazek kierowniczy;20;20;6;10
740749735;ZAFAKTUROWANE;8595956;BIA-PRIM-68;2026-02-20;Sprzeglo dwumasowe;21;21;6;10
91979690;PRZYDZIELONE;8595956;BIA-PRIM-68;2026-02-20;Szyba boczna;25;8;6;10
91979690;PRZYDZIELONE;8595956;BIA-PRIM-68;2026-02-20;Szyba boczna;25;17;6;10
765533129;ZAWIESZONE;2427010;LUB-PRIM-97;2026-02-20;Guma stabilizatora;9;7;4;20
765533129;ZAWIESZONE;2427010;LUB-PRIM-97;2026-02-20;Guma stabilizatora;9;2;4;20
365351213;PRZEKIEROWANE;2427010;LUB-PRIM-97;2026-02-20;Wahacz wzdluzny;21;21;4;20
255565531;WYSLANE;3353800;WAR-PRIM-23;2026-02-20;Wahacz wzdluzny;22;22;10;10
268237631;WSTRZYMANE;3353800;WAR-PRIM-23;2026-02-20;Pioro wycieraczki tyl;11;11;10;10
46664552;ZAFAKTUROWANE;2246016;LUB-PRIM-74;2026-02-20;Szyba boczna;17;9;4;10
46664552;ZAFAKTUROWANE;2246016;LUB-PRIM-74;2026-02-20;Szyba boczna;17;8;4;10
236706312;NIEZREALIZOWANE;9847791;OLS-16@;2026-02-20;Czujnik ABS;19;19;142;10
169830594;WYSLANE;9847791;OLS-16@;2026-02-20;Alternator;4;4;142;10
521838280;WSTRZYMANE;9847791;OLS-16@;2026-02-20;Filtr kabinowy;20;20;142;10
286675249;ZAWIESZONE;9368800;WAR-71@;2026-02-20;Lampa tylna lewa;23;23;10;10
74326370;ZAFAKTUROWANE;9368800;WAR-71@;2026-02-20;Fotel kierowcy;24;24;10;10
134041070;WYSLANE;9368800;WAR-71@;2026-02-20;Zacisk hamulcowy przod;5;5;10;10
397488786;WSTRZYMANE;7160042;SUW-PRIM-40;2026-02-20;Lozysko kola;7;7;146;20
733963718;NIEZREALIZOWANE;7160042;SUW-PRIM-40;2026-02-20;Drzwi przednie prawe;1;1;146;20
850498739;ZAFAKTUROWANE;7160042;SUW-PRIM-40;2026-02-20;Reflektor lewy LED;10;6;146;20
850498739;ZAFAKTUROWANE;7160042;SUW-PRIM-40;2026-02-20;Reflektor lewy LED;10;4;146;20
178585192;WYSLANE;7160042;SUW-PRIM-40;2026-02-20;Tarcza hamulcowa;27;27;146;20
284612384;WYSLANE;4523449;109-8456;2026-02-20;Silniczek krokowy;22;22;1;10
284422919;WYSLANE;9167341;INT-SUW;2026-02-20;Katalizator;23;9;146;20
284422919;WYSLANE;9167341;INT-SUW;2026-02-20;Katalizator;23;14;146;20
46664552;WSTRZYMANE;9167341;INT-SUW;2026-02-20;Szyba boczna;14;14;146;20
262873730;WSTRZYMANE;9167341;INT-SUW;2026-02-20;Chlodnica wody;30;30;146;20
924265163;NIEZREALIZOWANE;9167341;INT-SUW;2026-02-20;Glowica silnika;28;28;146;20
585136461;WYSLANE;4792295;KRA-26@;2026-02-20;Szczeki hamulcowe;17;17;7;10
718319417;PRZYDZIELONE;4609000;LUB-260Y;2026-02-20;Przewody zaplonowe;27;27;4;10
206478299;WYSLANE;9146317;NT-7760;2026-02-20;Lampa tylna prawa;13;13;146;10
590357116;WSTRZYMANE;9146317;NT-7760;2026-02-20;Wentylator chlodnicy;18;18;146;10
298481886;PRZEKIEROWANE;9146317;NT-7760;2026-02-20;Alternator;8;8;146;10
555752829;WSTRZYMANE;8195248;KRA-PRIM-28;2026-02-20;Czujnik ABS;25;25;7;10
363026614;ZAWIESZONE;8195248;KRA-PRIM-28;2026-02-20;Blok silnika;23;23;7;10
864421347;WSTRZYMANE;8195248;KRA-PRIM-28;2026-02-20;Drazek kierowniczy;27;27;7;10
289864268;WSTRZYMANE;8195248;KRA-PRIM-28;2026-02-20;Drzwi przednie lewe;10;10;7;10
545129047;NIEZREALIZOWANE;3537509;KRA-56@;2026-02-20;Czujnik parkowania;19;19;7;10
947461608;PRZEKIEROWANE;2622727;RUD-89@;2026-02-20;Swieca zarowa;20;20;1;10
134041070;WYSLANE;2622727;RUD-89@;2026-02-20;Zacisk hamulcowy przod;16;6;1;10
134041070;WYSLANE;2622727;RUD-89@;2026-02-20;Zacisk hamulcowy przod;16;10;1;10
380434119;PRZEKIEROWANE;6769926;KRA-PRIM-99;2026-02-20;Beben hamulcowy;10;4;7;10
380434119;PRZEKIEROWANE;6769926;KRA-PRIM-99;2026-02-20;Beben hamulcowy;10;6;7;10
590357116;PRZEKIEROWANE;6769926;KRA-PRIM-99;2026-02-20;Wentylator chlodnicy;17;17;7;10
84621066;WSTRZYMANE;6769926;KRA-PRIM-99;2026-02-20;Bezpiecznik glowny;26;26;7;10
733963718;PRZYDZIELONE;5195972;WAR-86@;2026-02-20;Drzwi przednie prawe;22;22;10;20
385461171;ZAWIESZONE;5195972;WAR-86@;2026-02-20;Olej przekladniowy;14;14;10;20
236466621;ZAFAKTUROWANE;1061087;WAR-PRIM-93;2026-02-20;Silnik kompletny;12;11;10;10
236466621;ZAFAKTUROWANE;1061087;WAR-PRIM-93;2026-02-20;Silnik kompletny;12;1;10;10
284422919;WYSLANE;1061087;WAR-PRIM-93;2026-02-20;Katalizator;15;15;10;10
123008994;PRZYDZIELONE;1061087;WAR-PRIM-93;2026-02-20;Reflektor lewy LED;27;27;10;10
941002571;WSTRZYMANE;9871967;OLS-53@;2026-02-20;Halogen przeciwmgielny;10;9;142;20
941002571;WSTRZYMANE;9871967;OLS-53@;2026-02-20;Halogen przeciwmgielny;10;1;142;20
46664552;ZAWIESZONE;9871967;OLS-53@;2026-02-20;Szyba boczna;29;3;142;20
46664552;ZAWIESZONE;9871967;OLS-53@;2026-02-20;Szyba boczna;29;26;142;20
864421347;WYSLANE;9871967;OLS-53@;2026-02-20;Drazek kierowniczy;22;22;142;20
76092500;PRZEKIEROWANE;9871967;OLS-53@;2026-02-20;Czujnik temperatury;29;22;142;20
76092500;PRZEKIEROWANE;9871967;OLS-53@;2026-02-20;Czujnik temperatury;29;7;142;20
718319417;ZAWIESZONE;2388651;RUD-PRIM-63;2026-02-20;Przewody zaplonowe;20;20;1;10
686589303;WSTRZYMANE;2388651;RUD-PRIM-63;2026-02-20;Kolektor wydechowy;6;6;1;10
314807776;PRZEKIEROWANE;2388651;RUD-PRIM-63;2026-02-20;Filtr paliwa;6;3;1;10
314807776;PRZEKIEROWANE;2388651;RUD-PRIM-63;2026-02-20;Filtr paliwa;6;3;1;10
26865092;NIEZREALIZOWANE;2388651;RUD-PRIM-63;2026-02-20;Podnosnik szyby;5;5;1;10
314807776;WYSLANE;4034103;OLS-PRIM-26;2026-02-20;Filtr paliwa;17;17;142;10
555752829;PRZYDZIELONE;4034103;OLS-PRIM-26;2026-02-20;Czujnik ABS;11;11;142;10
441427711;WSTRZYMANE;4034103;OLS-PRIM-26;2026-02-20;Rozrusznik;26;26;142;10
236466621;PRZEKIEROWANE;8050615;KRA-PRIM-35;2026-02-20;Silnik kompletny;2;2;7;10
936777846;WSTRZYMANE;8050615;KRA-PRIM-35;2026-02-20;Blotnik lewy;9;9;7;10
454350903;WYSLANE;8050615;KRA-PRIM-35;2026-02-20;Polos napedowa;17;17;7;10
502574736;ZAFAKTUROWANE;3415498;OLS-92@;2026-02-20;Silniczek krokowy;11;2;142;20
502574736;ZAFAKTUROWANE;3415498;OLS-92@;2026-02-20;Silniczek krokowy;11;9;142;20
710036086;PRZEKIEROWANE;3415498;OLS-92@;2026-02-20;Wal napedowy;19;19;142;20
299095574;NIEZREALIZOWANE;3415498;OLS-92@;2026-02-20;Rozrusznik;2;2;142;20
178585192;WSTRZYMANE;3415498;OLS-92@;2026-02-20;Tarcza hamulcowa;17;12;142;20
178585192;WSTRZYMANE;3415498;OLS-92@;2026-02-20;Tarcza hamulcowa;17;5;142;20
